Day,Date,Volume,GSE Composite Index(GSE-CI),Market Capitalization GH¢ million
Fri,2005-09-23,275000,4878.82,92130.74
Mon,2005-09-26,59900,4878.97,92131.24
Tue,2005-09-27,29700,4879.13,92131.76
Wed,2005-09-28,46000,4877.95,92128.75
Thu,2005-09-29,97500,4878.25,92129.65
Fri,2005-09-30,2895800,4878.29,92129.75
Mon,2005-10-03,30400,4878.31,92129.9
Tue,2005-10-04,40700,4878.64,92134.05
Wed,2005-10-05,69800,4881.78,92142.51
Thu,2005-10-06,75900,4882.42,92144.19
Fri,2005-10-07,66800,4886.46,92154.82
Mon,2005-10-10,136100,4887.08,92156.57
Tue,2005-10-11,52400,4887.55,92160.71
Wed,2005-10-12,106300,4887.84,92164.55
Thu,2005-10-13,242700,4880,92143.8
Fri,2005-10-14,134400,4886.69,92161.49
Mon,2005-10-17,641700,4887.75,92172.49
Tue,2005-10-18,161200,4888.56,92176.69
Wed,2005-10-19,34590200,4888.95,92177.71
Thu,2005-10-20,20400,4888.96,92177.84
Fri,2005-10-21,53700,4888.67,92177.08
Mon,2005-10-24,103200,4888.9,92177.68
Tue,2005-10-25,80200,4889.07,92178.13
Wed,2005-10-26,37800,4889.21,92178.5
Thu,2005-10-27,236100,4889.2,92173.28
Fri,2005-10-28,75000,4889.33,92178.72
Mon,2005-10-31,40300,4894.68,92192.88
Tue,2005-11-01,32800,4894.68,92192.88
Wed,2005-11-02,20500,4894.86,92193.37
Fri,2005-11-04,90100,4894.86,92193.37
Mon,2005-11-07,25600,4896.73,92198.31
Tue,2005-11-08,32400,4896.73,92198.31
Wed,2005-11-09,29700,4895.53,92195.14
Thu,2005-11-10,56500,4897.36,92199.99
Fri,2005-11-11,58200,4897.68,92200.81
Mon,2005-11-14,17700,4899.08,92204.53
Tue,2005-11-15,275500,4899.21,92294.88
Wed,2005-11-16,150400,4899.4,92205.38
Thu,2005-11-17,13700,4899.48,92205.58
Fri,2005-11-18,132200,4899.55,92205.77
Mon,2005-11-21,47300,4899.55,92205.77
Tue,2005-11-22,24400,4899.61,92205.93
Wed,2005-11-23,39500,4893.69,92190.26
Thu,2005-11-24,13700,4893.46,92189.64
Fri,2005-11-25,433500,4875.29,92138.48
Mon,2005-11-28,54100,4875.48,92138.97
Tue,2005-11-29,229600,4851.38,92075.17
Wed,2005-11-30,70800,4793.1,92920.91
Thu,2005-12-01,2014200,4792.96,91920.54
Mon,2005-12-05,24400,4792.96,91920.54
Tue,2005-12-06,70100,4792.53,91919.48
Wed,2005-12-07,42800,4792.65,91919.81
Thu,2005-12-08,42600,4792.65,91919.81
Fri,2005-12-09,5800,4792.65,91919.81
Mon,2005-12-12,114400,4785.21,91900.1
Tue,2005-12-13,1037500,4785.27,91900.27
Wed,2005-12-14,268700,4783.07,91894.45
Thu,2005-12-15,261800,4783.09,91894.5
Fri,2005-12-16,219600,4782.92,91894.05
Mon,2005-12-19,176400,4770.51,91861.18
Tue,2005-12-20,127800,4770.63,91861.51
Wed,2005-12-21,25200,4751.17,91809.98
Thu,2005-12-22,66200,4751.17,91809.98
Fri,2005-12-23,250100,4751.25,91810.19
Wed,2005-12-28,153600,4751.43,91810.68
Thu,2005-12-29,67900,4751.45,91810.72
Fri,2005-12-30,88200,4769.02,91857.28
Tue,2006-01-03,105800,4769.15,91857.61
Wed,2006-01-04,63700,4769.65,91858.95
Thu,2006-01-05,49900,4725.29,91741.51
Fri,2006-01-06,22900,4725.01,91740.77
Mon,2006-01-09,29400,4706.76,91692.46
Wed,2006-01-11,59400,4701.01,91677.24
Thu,2006-01-12,38500,4701.01,91677.24
Fri,2006-01-13,121800,4708.33,91696.61
Mon,2006-01-16,26600,4705.5,91689.12
Tue,2006-01-17,51000,4707.12,91693.4
Wed,2006-01-18,126000,4733.18,91762.4
Thu,2006-01-19,36800,4733.2,91762.47
Fri,2006-01-20,142800,4728.49,91750
Mon,2006-01-23,14700,4728.63,91750.37
Tue,2006-01-24,25300,4728.63,91750.37
Wed,2006-01-25,28200,4728.64,91750.41
Thu,2006-01-26,79000,4728.64,91750.41
Fri,2006-01-27,19400,4728.64,91750.41
Mon,2006-01-30,32400,4692.84,91655.62
Tue,2006-01-31,160300,4692.84,91655.62
Wed,2006-02-01,23200,4721.39,91731.22
Thu,2006-02-02,127800,4730.13,91754.36
Fri,2006-02-03,139600,4736.24,91770.51
Mon,2006-02-06,36900,4736.24,91770.51
Tue,2006-02-07,26300,4736.25,91770.54
Wed,2006-02-08,4883100,4736.33,91770.75
Thu,2006-02-09,42900,4731.17,91757.1
Fri,2006-02-10,78800,4728.13,91479.06
Mon,2006-02-13,7335000,4728.63,91750.37
Tue,2006-02-14,52300,4728.76,91750.73
Wed,2006-02-15,27500,4728.77,91750.77
Thu,2006-02-16,6800,4728.77,91841.68
Fri,2006-02-17,268800,4725.99,91834.32
Mon,2006-02-20,105300,4725.93,91834.16
Tue,2006-02-21,115300,4726.01,91834.37
Wed,2006-02-22,1145300,4729.2,91751.9
Thu,2006-02-23,133000,4730.07,91845.11
Fri,2006-02-24,18600,4729.98,91844.89
Mon,2006-02-27,220500,4730.11,91845.22
Tue,2006-02-28,136100,4730.17,91845.38
Wed,2006-03-01,302000,4730.17,91845.38
Thu,2006-03-02,1156300,4730.17,91845.38
Fri,2006-03-03,13900,4730.54,91846.36
Tue,2006-03-07,9900,4730.56,91846.43
Wed,2006-03-08,167500,4731.87,91849.91
Thu,2006-03-09,384200,4737.75,91862.84
Fri,2006-03-10,962500,4736.87,91863.16
Mon,2006-03-13,36500,4739.81,91870.95
Tue,2006-03-14,403200,4740.83,91873.72
Wed,2006-03-15,93300,4748.8,91894.81
Thu,2006-03-16,113000,4749,91895.37
Fri,2006-03-17,305200,4759.15,91922.23
Mon,2006-03-20,185000,4759.2,91922.23
Tue,2006-03-21,256900,4759.67,91923.63
Wed,2006-03-22,25900,4760.03,91924.59
Thu,2006-03-23,49000,4760.14,91924.92
Fri,2006-03-24,256000,4760.61,91926.16
Mon,2006-03-27,58600,4761.16,91927.62
Mon,2006-03-27,879300,4914.43,97528.98
Tue,2006-03-28,81800,4762.33,91920.72
Wed,2006-03-29,37600,4762.34,91930.77
Thu,2006-03-30,37200,4763.48,91933.8
Fri,2006-03-31,1109100,4764.07,91935.38
Mon,2006-04-03,47100,4764.13,91935.53
Tue,2006-04-04,155300,4767.34,91944.07
Wed,2006-04-05,640300,4767.48,91944.48
Thu,2006-04-06,243000,4767.61,91944.95
Fri,2006-04-07,94500,4767.9,91945.8
Mon,2006-04-10,50700,4768.57,91947.57
Tue,2006-04-11,126100,4769.39,91949.75
Wed,2006-04-12,35100,4769.64,91950.42
Thu,2006-04-13,179400,4771,91954.07
Tue,2006-04-18,35200,4771,91954.07
Wed,2006-04-19,20500,4771.11,91954.71
Thu,2006-04-20,50100,4771.18,92398.06
Fri,2006-04-21,202500,4771.18,91954.93
Mon,2006-04-24,46300,4771.25,91955.11
Tue,2006-04-25,40300,4771.33,92398.45
Wed,2006-04-26,99600,4770.21,92395.52
Thu,2006-04-27,250000,4780.03,92427.57
Fri,2006-04-28,229200,4780.16,92427.57
Tue,2006-05-02,38200,4780.41,92428.59
Wed,2006-05-03,19300,4780.66,92429.24
Thu,2006-05-04,657800,4780.79,92429.6
Fri,2006-05-05,11300,4780.79,92429.6
Mon,2006-05-08,60800,4782.46,92434.05
Tue,2006-05-09,331500,4788.72,92450.6
Wed,2006-05-10,26200,4789.09,92452.57
Thu,2006-05-11,107000,4789.42,92453.44
Fri,2006-05-12,73700,4789.82,92454.54
Mon,2006-05-15,227000,4767.26,92394.81
Tue,2006-05-16,149700,4768.68,92398.57
Wed,2006-05-17,15100,4768.68,92398.57
Thu,2006-05-18,108400,4768.47,92398.05
Fri,2006-05-19,1524500,4782.78,92435.97
Mon,2006-05-22,127100,4785.91,92444.27
Tue,2006-05-23,321200,4813.91,92518.4
Wed,2006-05-24,286900,4814.37,92519.6
Fri,2006-05-26,202700,4843.78,92597.48
Mon,2006-05-29,58200,4843.79,92597.58
Tue,2006-05-30,39800,4843.79,92597.57
Wed,2006-05-31,52900,4843.8,95588.92
Thu,2006-06-01,53500,4846.48,95596.76
Fri,2006-06-02,36200,4843.73,95591.51
Mon,2006-06-05,914000,4845.14,95596.27
Tue,2006-06-06,140000,4846.37,95609.74
Wed,2006-06-07,72800,4846.37,95609.74
Fri,2006-06-09,12000,4846.38,95609.76
Mon,2006-06-12,23200,4846.39,95609.78
Tue,2006-06-13,53700,4846.39,95609.78
Wed,2006-06-14,22600,4846.39,95611.89
Thu,2006-06-15,88000,4847.18,95611.89
Fri,2006-06-16,28000,4846.56,95610.26
Mon,2006-06-19,1011000,4846.59,9561.34
Tue,2006-06-20,27200,4846.59,95610.39
Wed,2006-06-21,12300,4846.6,95610.39
Thu,2006-06-22,4700,4846.6,95610.41
Fri,2006-06-23,4100,4846.63,95610.41
Mon,2006-06-26,28900,4846.65,95610.41
Tue,2006-06-27,860500,4835.82,95581.86
Wed,2006-06-28,4000,4835.84,95582.03
Thu,2006-06-29,77800,4833.02,95574.57
Fri,2006-06-30,128300,4833.33,95578.3
Tue,2006-07-04,355700,4832.83,95576.98
Wed,2006-07-05,71300,4832.83,95576.98
Thu,2006-07-06,137600,4832.83,95576.98
Fri,2006-07-07,81900,4832.85,95577.24
Mon,2006-07-10,8900,4832.87,95577.51
Tue,2006-07-11,59400,4832.89,95577.54
Wed,2006-07-12,23500,4832.29,95291.93
Thu,2006-07-13,177700,4833.86,95294.43
Fri,2006-07-14,68200,4837.12,97077.79
Mon,2006-07-17,1353000,4844.67,97100.58
Tue,2006-07-18,491100,4881.23,97210.77
Wed,2006-07-19,289500,4881.28,97210.93
Thu,2006-07-20,60300,4879.58,97205.84
Fri,2006-07-21,144900,4879.43,97205.47
Mon,2006-07-24,105500,4891.1,97240.66
Tue,2006-07-25,53600,4891.69,97242.48
Wed,2006-07-26,43600,4892.18,97243.95
Thu,2006-07-27,65800,4892.14,97243.91
Fri,2006-07-28,138800,4891.6,97242.28
Mon,2006-07-31,185600,4885.34,97223.45
Tue,2006-08-01,34700,4885.36,97223.48
Wed,2006-08-02,599300,4885.32,97223.38
Thu,2006-08-03,91200,4887.89,97231.11
Fri,2006-08-04,795300,4872.17,97183.73
Mon,2006-08-07,70600,4872.18,97183.76
Tue,2006-08-08,247200,4872.78,97183.76
Wed,2006-08-09,71100,4874.18,97183.76
Thu,2006-08-10,28400,4874.54,96903.35
Fri,2006-08-11,98300,4874.6,96903.56
Mon,2006-08-14,1901400,4876.12,97381.64
Wed,2006-08-16,62900,4876.52,97386.72
Thu,2006-08-17,235800,4878.95,97418.55
Fri,2006-08-18,22100,4879.38,97419.84
Mon,2006-08-21,177100,4879.61,97420.96
Tue,2006-08-22,31400,4891.22,97456.39
Wed,2006-08-23,141900,4891.84,97458.37
Thu,2006-08-24,38900,4909.25,97511.55
Fri,2006-08-25,79600,4909.29,97511.68
Mon,2006-08-28,4700,4909.29,97511.75
Wed,2006-08-30,54400,4912.34,97521.04
Thu,2006-08-31,36500,4913.25,97523.86
Fri,2006-09-01,167700,4913.48,97526.07
Tue,2006-09-05,89100,4906.01,97503.27
Wed,2006-09-06,256800,4906.16,97503.76
Thu,2006-09-07,31700,4906.22,97503.96
Fri,2006-09-08,92400,4901.22,97488.56
Mon,2006-09-11,10700,4906.49,111175.04
Tue,2006-09-12,64900,4910.85,97516.51
Tue,2006-09-12,55200,4911.85,111206.59
Wed,2006-09-13,242500,4903.45,111157.7
Thu,2006-09-14,22600,4895.97,111187.79
Fri,2006-09-15,61500,4911.5,111249.06
Mon,2006-09-18,52900,4946.53,111409.21
Tue,2006-09-19,98800,4953.52,111440.38
Wed,2006-09-20,247300,4958.82,111471.28
Thu,2006-09-21,40900,4960.21,111479.45
Fri,2006-09-22,532200,4958.88,111487.82
Mon,2006-09-25,30800,4960.37,111496.55
Tue,2006-09-26,46400,4961.23,111501.62
Wed,2006-09-27,37100,4961.41,111502.65
Thu,2006-09-28,168500,4948.27,111425.97
Fri,2006-09-29,235100,4943.45,111397.88
Mon,2006-10-02,19900,4943.57,111398.68
Tue,2006-10-03,159600,4944.05,111402.78
Wed,2006-10-04,1223500,4944.13,111403.29
Thu,2006-10-05,367200,4944.46,111405.2
Fri,2006-10-06,39300,4944.99,111408.32
Mon,2006-10-09,23000,4949.99,111408.34
Tue,2006-10-10,100700,4945.24,111409.85
Wed,2006-10-11,117000,4945.29,111410.25
Thu,2006-10-12,197400,4946.98,111420.08
Fri,2006-10-13,23200,4948.09,111426.58
