Ticker,Year,Net revenue,Cost of Sales,Gain from fair value change,Gross profit/loss,Selling and distribution costs,General and administrative expenses,Other income/expense,EBIT,Other financial income/expense,Interest,EBT,Income tax credit/expense,Taxation,Net Profit/Loss
CPC,2010,84127817,82761917,0,1365900,1296392,9344730,154355,-9120867,0,3404525,-12525392,0,0,-12525392
CPC,2011,89164530,85328194,0,3836336,2078626,11147399,208619,-9181070,0,3679908,-12860978,0,0,-12860978
CPC,2012,55141498,53761909,0,1379589,776728,7901180,323023,-6975296,0,3270352,-10245648,0,0,-10245648
CPC,2013,60186136,59630709,0,555427,1157489,8796711,552460,-8846313,0,2925691,-11772004,0,0,-11772004
CPC,2014,36402206,36375950,0,26256,1469030,11078991,410118,-12111647,0,4163808,-16275455,0,0,-16275455
CPC,2015,27881187,27329067,0,552120,559953,5710436,1814818,-3903451,0,3951001,-7854452,-2477797,0,-10332249
CPC,2016,13361260,15075466,0,1714206,317708,5525573,531041,-7026446,0,3908492,-10934938,1827890,0,-9107048
CPC,2017,14782866,15157927,0,375061,888627,4126345,297863,-5092170,0,3847044,-8939214,1555455,0,-7383759
CPC,2018,28320274,26948825,0,1371450,429978,3575460,367292,-2266696,0,3085298,-5351994,0,0,-5351994
FML,2010,103775,48293,0,55482,22342,8432,141,24849,0,-156,24693,6443,0,19370
FML,2011,109280,51908,0,57372,25560,8429,350,23733,0,1518,25251,6432,0,18819
FML,2012,147212,69799,0,77413,33780,11375,446,32704,0,3738,36442,9244,0,27198
FML,2013,138969,61451,0,77518,36069,13844,589,28194,0,1580,29774,8052,0,21722
FML,2014,177492,95131,0,82361,47556,19384,4348,19769,0,1959,21728,6679,0,15049
FML,2015,315409,156345,0,159064,73555,29530,3800,59779,0,6589,66368,16652,0,49716
FML,2016,386402,189345,0,197057,85371,32162,2731,82255,0,5302,87557,21429,0,66128
FML,2017,445963,237345,0,208618,108137,46216,9238,63503,0,315,63818,16521,0,47297
FML,2018,389507,240731,0,148776,76366,74520,18001,15891,0,0,15891,3172,0,12899
BOPP,2010,19366,16110,346,3602,0,1227,293,2375,0,0,2668,0,0,2668
BOPP,2011,34797,23741,446,11502,0,2339,104,9267,0,504,9771,186,0,9585
BOPP,2012,40839,27070,869,14638,0,2741,583,12480,0,1234,13714,308,0,13406
BOPP,2013,35438,29610,1234,7062,0,3064,812,4810,0,1320,6130,324,0,5806
BOPP,2014,52164,35458,2126,18832,0,6617,-313,11902,0,519,12421,130,0,12291
BOPP,2015,58077,45627,1035,13485,0,6759,793,7519,0,848,8367,212,0,8155
BOPP,2016,74278,57733,300,16845,0,7051,383,10177,0,529,10706,2616,0,8090
BOPP,2017,89973,71341,1084,19716,0,8508,1218,12426,0,377,12803,1882,0,10921
BOPP,2018,79091,65161,422,14352,0,9386,1339,6305,0,333,6638,725,0,5913
AYRTN,2010,12455486,6953927,0,5501559,1114562,1570410,11753,2828340,0,279757,3108097,784343,0,2323754
AYRTN,2011,20052755,11716621,0,8336134,2402813,2242132,52648,3743837,0,313126,4058963,1190884,0,2866079
AYRTN,2012,22996295,13616611,0,9379684,3030069,3380133,96198,3065680,0,66475,3132155,656129,0,2476026
AYRTN,2013,24077076,14374344,0,9702732,3041967,5811607,27462,876620,0,146884,1023504,682698,0,340806
AYRTN,2014,21338571,12361937,0,8976634,3687879,7102192,37039,-1776398,-17500,-52754,-1846652,0,0,-1321354
AYRTN,2015,34892733,24353620,0,10539113,6252865,8233753,370787,-3576718,0,-1198747,-4775465,46535,0,-4822000
AYRTN,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYRTN,2017,35016640,16773196,0,18243444,4896998,9115749,193896,4424594,0,-1206109,3218485,679289,0,2539196
AYRTN,2018,36218331,15989405,0,20228926,3624110,9661841,209778,7152754,0,-1918959,5233795,1618476,0,3615319
PBC,2010,632902845,556674076,,76228769,22975080,17944870,2349911,17944870,0,18402286,19256444,19256444,0,14112542
PBC,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBC,2012,1162927098,1044739602,0,118187496,43773858,26463142,12948894,26463142,0,47174080,13725310,13725310,0,10073041
PBC,2013,1123237029,1011004274,0,112232755,48594404,30212458,7674913,30212458,0,51955632,-10854826,-10854826,0,-8831622
PBC,2014,1138631772,1027800920,0,110830852,49083922,35179347,8158203,35179347,0,61359299,-26633513,-26633513,0,-25310025
PBC,2015,1470972519,1304567492,0,166405027,74343234,39407762,40008119,39407762,0,85135184,7526966,7526966,0,6270405
PBC,2016,1900674,1691866,0,208808,75098,52729,11070,52729,0,110149,-18098,-18098,0,-17650
PBC,2017,2369982,2134748,0,235234,88715,64598,-13157,64598,0,105213,-36449,-36449,0,-29876
PBC,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMLT,2010,3789000,2419612,0,1369389,964655,0,0,404734,0,216600,188134,60000,0,128134
CMLT,2011,3491624,1689252,0,1802372,0,1239697,5518,568193,0,568193,258408,56938,0,201470
CMLT,2012,3648398,1955128,0,1693270,0,11209051,218,484437,0,65855,418582,112322,0,306260
CMLT,2013,3955686,2192905,0,1762781,0,1213051,2951,552681,0,279822,272859,198198,0,74681
CMLT,2014,4418337,2495987,0,1922350,0,1598176,11,324185,0,211947,112238,141806,0,254004
CMLT,2015,5383023,3101564,0,2281459,1968386,0,15780,328853,0,91615,237238,59309,0,177928
CMLT,2016,5960369,3445387,0,2514982,0,2334920,106945,287007,0,12444,274563,50071,0,224492
CMLT,2017,6420493,3639423,0,2781070,0,2407342,23590,397318,0,10868,386450,101453,0,284997
CMLT,2018,6464871,3839122,0,2625749,0,2495181,282,130850,0,19154,111695,80894,0,30802
