Date,Share Code,Closing Price VWAP (GHS),Total Shares Traded,Last Transaction Price (GHS)
2007-06-25,AADS,0.342,0,0
2007-06-26,AADS,0.342,200,0
2007-06-27,AADS,0.342,0,0
2007-06-28,AADS,0.342,0,0
2007-06-29,AADS,0.342,0,0
2007-07-03,AADS,0.342,100,0
2007-07-04,AADS,0.342,400,0
2007-07-05,AADS,0.342,0,0
2007-07-06,AADS,0.342,0,0
2007-07-09,AADS,0.342,0,0
2007-07-10,AADS,0.342,0,0
2007-07-11,AADS,0.343,3000,0
2007-07-12,AADS,0.343,0,0
2007-07-13,AADS,0.343,0,0
2007-07-16,AADS,0.343,0,0
2007-07-17,AADS,0.343,0,0
2007-07-18,AADS,0.343,0,0
2007-07-19,AADS,0.343,0,0
2007-07-20,AADS,0.343,0,0
2007-07-23,AADS,0.343,0,0
2007-07-24,AADS,0.343,0,0
2007-07-25,AADS,0.343,0,0
2007-07-26,AADS,0.343,0,0
2007-07-27,AADS,0.343,1400,0
2007-07-30,AADS,0.345,1400,0
2007-07-31,AADS,0.345,0,0
2007-08-01,AADS,0.345,1500,0
2007-08-02,AADS,0.345,0,0
2007-08-03,AADS,0.345,0,0
2007-08-06,AADS,0.345,0,0
2007-08-07,AADS,0.345,2300,0
2007-08-08,AADS,0.345,0,0
2007-08-09,AADS,0.345,0,0
2007-08-10,AADS,0.345,2700,0
2007-08-13,AADS,0.345,0,0
2007-08-14,AADS,0.345,0,0
2007-08-15,AADS,0.345,0,0
2007-08-16,AADS,0.345,0,0
2007-08-17,AADS,0.345,0,0
2007-08-20,AADS,0.345,0,0
2007-08-21,AADS,0.345,0,0
2007-08-22,AADS,0.345,400,0
2007-08-24,AADS,0.345,0,0
2007-08-27,AADS,0.345,0,0
2007-08-28,AADS,0.345,0,0
2007-08-29,AADS,0.345,4500,0
2007-08-30,AADS,0.345,0,0
2007-08-31,AADS,0.345,0,0
2007-09-03,AADS,0.345,0,0
2007-09-04,AADS,0.345,0,0
2007-09-05,AADS,0.345,200,0
2007-09-06,AADS,0.345,0,0
2007-09-07,AADS,0.345,0,0
2007-09-10,AADS,0.345,0,0
2007-09-11,AADS,0.345,0,0
2007-09-12,AADS,0.345,0,0
2007-09-13,AADS,0.345,4000,0
2007-09-14,AADS,0.345,0,0
2007-09-17,AADS,0.345,0,0
2007-09-18,AADS,0.345,0,0
2007-09-19,AADS,0.345,0,0
2007-09-20,AADS,0.345,0,0
2007-09-21,AADS,0.345,300,0
2007-09-24,AADS,0.345,17800,0
2007-09-25,AADS,0.345,0,0
2007-09-26,AADS,0.345,0,0
2007-09-27,AADS,0.345,900,0
2007-09-28,AADS,0.345,0,0
2007-10-01,AADS,0.345,0,0
2007-10-02,AADS,0.345,0,0
2007-10-03,AADS,0.345,0,0
2007-10-04,AADS,0.345,0,0
2007-10-05,AADS,0.345,0,0
2007-10-08,AADS,0.345,0,0
2007-10-09,AADS,0.345,0,0
2007-10-10,AADS,0.345,0,0
2007-10-11,AADS,0.345,0,0
2007-10-12,AADS,0.345,0,0
2007-10-16,AADS,0.345,600,0
2007-10-17,AADS,0.345,0,0
2007-10-18,AADS,0.345,0,0
2007-10-19,AADS,0.345,3100,0
2007-10-22,AADS,0.345,0,0
2007-10-23,AADS,0.345,0,0
2007-10-24,AADS,0.345,0,0
2007-10-25,AADS,0.345,700,0
2007-10-26,AADS,0.345,0,0
2007-10-29,AADS,0.345,0,0
2007-10-30,AADS,0.345,0,0
2007-10-31,AADS,0.345,2900,0
2007-11-01,AADS,0.345,100,0
2007-11-02,AADS,0.345,0,0
2007-11-05,AADS,0.345,0,0
2007-11-06,AADS,0.345,3600,0
2007-11-07,AADS,0.345,0,0
2007-11-08,AADS,0.345,9400,0
2007-11-12,AADS,0.345,0,0
2007-11-13,AADS,0.345,7700,0
2007-11-14,AADS,0.345,1700,0
2007-11-15,AADS,0.345,0,0
2007-11-16,AADS,0.345,0,0
2007-11-19,AADS,0.345,0,0
2007-11-20,AADS,0.345,0,0
2007-11-21,AADS,0.345,1500,0
2007-11-22,AADS,0.345,0,0
2007-11-23,AADS,0.345,0,0
